Country,Year,Immigrants,Theft,Rape,Homicide
Belgium,2015,129869,2196.73,28.75,2.06
Belgium,2016,107551,2055.54,30.44,1.55
Belgium,2017,111680,1969.42,32.83,1.74
Belgium,2018,122128,1948.04,33.93,1.68
Belgium,2019,132924,1985.09,36.85,1.28
Belgium,2020,103895,1364.21,34.72,1.29
Belgium,2021,124895,1448.68,40.55,1.37
Belgium,2022,194166,1722.78,41.82,1.62
Belgium,2023,155079,1794.08,41.24,1.41
Belgium,2024,149165,1657.97,40.55,1.4
Bulgaria,2015,14229,531.99,1.65,1.75
Bulgaria,2016,11541,457.48,1.78,1.1
Bulgaria,2017,12983,576.57,2.0,1.34
Bulgaria,2018,14414,523.71,1.6,1.3
Bulgaria,2019,15655,473.88,1.87,1.16
Bulgaria,2020,14636,388.92,1.57,0.96
Bulgaria,2021,20481,353.28,1.16,1.29
Bulgaria,2022,25724,413.08,1.4,1.11
Bulgaria,2023,42556,405.62,1.16,1.15
Bulgaria,2024,37782,381.82,1.72,1.23
Czechia,2015,23370,810.06,5.67,0.84
Czechia,2016,54041,674.86,6.15,0.62
Czechia,2017,45093,624.84,5.65,0.38
Czechia,2018,58970,560.2,6.14,0.52
Czechia,2019,95460,561.98,6.41,0.76
Czechia,2020,57471,426.77,5.98,0.53
Czechia,2021,64253,256.58,14.21,0.43
Czechia,2022,342785,330.65,16.29,0.75
Czechia,2023,138577,326.7,16.14,0.63
Czechia,2024,120104,296.01,17.13,0.63
Denmark,2015,61153,3990.8,18.57,0.92
Denmark,2016,58815,3951.31,29.42,0.93
Denmark,2017,53180,3721.21,31.36,1.06
Denmark,2018,49638,3162.31,38.35,0.93
Denmark,2019,46542,2928.71,35.33,0.93
Denmark,2020,42454,2439.43,37.35,0.88
Denmark,2021,51605,2134.02,45.51,0.72
Denmark,2022,107414,2496.21,48.2,1.0
Denmark,2023,85404,2671.5,40.03,0.89
Denmark,2024,89137,2623.31,38.83,0.87
Germany,2015,1214080,1661.33,8.65,0.81
Germany,2016,954459,1570.39,9.64,0.91
Germany,2017,828647,1401.36,10.07,0.89
Germany,2018,782219,1307.46,10.91,0.76
Germany,2019,755640,1235.04,11.53,0.71
Germany,2020,572225,1120.39,12.17,0.86
Germany,2021,698963,1004.59,12.52,0.76
Germany,2022,1721222,1254.11,15.09,0.74
Germany,2023,1153619,1410.44,15.77,0.8
Germany,2024,952120,1376.67,17.09,0.83
Estonia,2015,7866,863.51,12.24,3.8
Estonia,2016,8195,682.55,11.55,2.51
Estonia,2017,9909,580.18,11.4,2.2
Estonia,2018,10395,561.2,16.07,1.9
Estonia,2019,11279,513.58,15.32,1.74
Estonia,2020,10127,516.41,11.44,2.78
Estonia,2021,13077,564.86,13.98,1.43
Estonia,2022,43547,602.72,11.41,1.35
Estonia,2023,21205,710.09,13.98,1.32
Estonia,2024,13974,731.0,14.69,1.82
Ireland,2015,51283,1554.55,14.24,0.64
Ireland,2016,64176,1312.17,14.73,0.72
Ireland,2017,56423,1398.78,17.54,0.82
Ireland,2018,71171,1334.74,21.32,0.81
Ireland,2019,66978,1333.64,21.72,0.65
Ireland,2020,47332,974.15,20.87,0.64
Ireland,2021,55359,879.43,22.05,0.43
Ireland,2022,128894,1208.39,21.57,0.81
Ireland,2023,106627,1311.66,19.39,0.63
Ireland,2024,93319,1334.7,19.43,0.69
Greece,2015,37889,507.93,1.12,0.79
Greece,2016,90048,530.04,1.44,0.75
Greece,2017,84568,860.55,1.45,0.72
Greece,2018,90725,748.07,1.46,0.88
Greece,2019,98520,800.26,1.7,0.71
Greece,2020,65951,568.61,1.6,0.68
Greece,2021,29806,551.92,2.43,0.83
Greece,2022,67770,680.03,3.18,0.76
Greece,2023,77226,660.06,2.81,0.73
Greece,2024,87813,606.64,3.39,0.78
Spain,2015,311785,520.87,2.65,0.65
Spain,2016,380926,435.36,2.69,0.63
Spain,2017,493724,429.07,2.98,0.66
Spain,2018,608653,425.31,3.64,0.62
Spain,2019,714253,436.44,3.99,0.71
Spain,2020,441492,263.04,3.37,0.63
Spain,2021,803040,305.05,4.52,0.61
Spain,2022,1177285,433.24,6.03,0.69
